Scheme,N,Keywords,QuerySize,SetupTime,UpdateTime,SearchTime,Storage
Nomos,100,100,10,2.663,4.21556,2.4083,21200
MC-ODXT,100,100,10,0.088958,3.8233,4.35737,21200
VQNomos,100,100,10,0.059,4.25213,2.5971,53968
Nomos,500,100,10,0.058,4.14851,2.3979,21200
MC-ODXT,500,100,10,0.082375,3.70269,4.33075,21200
VQNomos,500,100,10,0.06,4.30914,2.6789,53968
Nomos,1000,100,10,0.063,4.29419,2.3917,21200
MC-ODXT,1000,100,10,0.076833,3.60583,4.37529,21200
VQNomos,1000,100,10,0.065,4.34091,2.6096,53968
Nomos,5000,100,10,0.061,4.20601,2.3945,21200
MC-ODXT,5000,100,10,0.083166,3.59081,4.37131,21200
VQNomos,5000,100,10,0.069,4.33633,2.6084,53968
